point_type,boundary_label,x,y,phi,target,boundary_error,pde_residual,pde_loss,energy_density,grad_norm,tau_eq,total_point_loss
interior,,5.7142859697e-01,5.4945056327e-03,4.2854060978e-01,nan,nan,-2.5907013764e-02,6.7117336218e-04,1.8813951511e-01,9.9948782508e-01,9.9948782508e-01,6.7117336218e-04
interior,,5.7692307234e-01,5.4945056327e-03,4.2304893699e-01,nan,nan,-7.1439201211e-03,5.1035594697e-05,1.8815453731e-01,9.9953552924e-01,9.9953552924e-01,5.1035594697e-05
interior,,5.8241760731e-01,5.4945056327e-03,4.1755681848e-01,nan,nan,-5.4045643382e-05,2.9209315686e-09,1.8817757285e-01,9.9960867820e-01,9.9960867820e-01,2.9209315686e-09
interior,,5.8791208267e-01,5.4945056327e-03,4.1206446246e-01,nan,nan,-2.5390328341e-03,6.4466877324e-06,1.8818473224e-01,9.9963141216e-01,9.9963141216e-01,6.4466877324e-06
interior,,5.9340661764e-01,5.4945056327e-03,4.0657208142e-01,nan,nan,-6.9360409484e-03,4.8108664038e-05,1.8817412685e-01,9.9959773564e-01,9.9959773564e-01,4.8108664038e-05
interior,,5.9890109301e-01,5.4945056327e-03,4.0107996481e-01,nan,nan,-7.8225724126e-03,6.1192639151e-05,1.8816326232e-01,9.9956323568e-01,9.9956323568e-01,6.1192639151e-05
interior,,6.0439562798e-01,5.4945056327e-03,3.9558786233e-01,nan,nan,-5.5371771621e-03,3.0660330924e-05,1.8816506440e-01,9.9956895817e-01,9.9956895817e-01,3.0660330924e-05
interior,,6.0989010334e-01,5.4945056327e-03,3.9009570282e-01,nan,nan,-6.4557640165e-04,4.1676889037e-07,1.8817372473e-01,9.9959645875e-01,9.9959645875e-01,4.1676889037e-07
interior,,6.1538463831e-01,5.4945056327e-03,3.8460333159e-01,nan,nan,1.0670487396e-02,1.1385930128e-04,1.8818232541e-01,9.9962376952e-01,9.9962376952e-01,1.1385930128e-04
interior,,6.2087911367e-01,5.4945056327e-03,3.7911078809e-01,nan,nan,2.8975043769e-02,8.3955316139e-04,1.8820291208e-01,9.9968913939e-01,9.9968913939e-01,8.3955316139e-04
interior,,6.2637364864e-01,5.4945056327e-03,3.7361764286e-01,nan,nan,4.9597009103e-02,2.4598633120e-03,1.8824324914e-01,9.9981721738e-01,9.9981721738e-01,2.4598633120e-03
interior,,6.3186812401e-01,5.4945056327e-03,3.6812381020e-01,nan,nan,7.3625278655e-02,5.4206816570e-03,1.8828377083e-01,9.9994587338e-01,9.9994587338e-01,5.4206816570e-03
interior,,6.3736265898e-01,5.4945056327e-03,3.6262941944e-01,nan,nan,1.0369841220e-01,1.0753360692e-02,1.8829665037e-01,9.9998676407e-01,9.9998676407e-01,1.0753360692e-02
interior,,6.4285713434e-01,5.4945056327e-03,3.5713523655e-01,nan,nan,1.3713029282e-01,1.8804717208e-02,1.8826631850e-01,9.9989046341e-01,9.9989046341e-01,1.8804717208e-02
interior,,6.4835166931e-01,5.4945056327e-03,3.5164185146e-01,nan,nan,1.6957602706e-01,2.8756028954e-02,1.8820288570e-01,9.9968905560e-01,9.9968905560e-01,2.8756028954e-02
interior,,6.5384614468e-01,5.4945056327e-03,3.4614966493e-01,nan,nan,1.9540680162e-01,3.8183818118e-02,1.8814276412e-01,9.9949814266e-01,9.9949814266e-01,3.8183818118e-02
interior,,6.5934067965e-01,5.4945056327e-03,3.4065814966e-01,nan,nan,2.0864498953e-01,4.3532731655e-02,1.8812323315e-01,9.9943611914e-01,9.9943611914e-01,4.3532731655e-02
